EQUIP_ID;EQUIP_NOM;ADRESSE;EQUIP_WEB_LIEN;DOMAINE_NOM;SOUSDOM_NOM;ADRESSE_ID;TELEPHONE;COURRIEL;HORAIRE;DESCRIPTION;INFO_SUPP
1907;Maison des Jeux;48 Quai de France;www.maisondesjeux-grenoble.org/;Sports et Loisirs;Equipements socioculturels;2692;04 76 43 28 36;contact@maisondesjeux-grenoble.org;;<p>Depuis 1991, la Maison des Jeux travaille à la promotion du jeu libre et gratuit et à la reconnaissance du jeu comme pratique culturelle, identifiante de l'Éducation Populaire.</p>;
258;Ecole maternelle Houille Blanche;3 Rue de la Houille Blanche;;Education;Ecoles maternelles;3762;04 76 96 41 12;;;;
136;Le Ciel;2 Rue Général Marchand;www.regie2c.fr;Culture;Théâtres et salles de spectacle;2886;04 76 63 85 23;laregie2c@regie2c.com;17h15, débuts des concerts à 18h précise 20h15, début des concerts à 21h précise Dès le début du concert, les portes sont fermées, et les retardataires ne seront pas admis dans la salle de spectacle.;<p>Etablissement public créé par la Ville de Grenoble, la Régie 2C a ouvert ses portes en septembre 2002. Elle a pour mission de gérer et rassembler les équipements du Ciel et de la Chaufferie autour d'un projet dédié aux musiques actuelles, du développement des pratiques musicales et artistiques, de la répétition à la formation, de la création à la diffusion. La Régie 2C œuvre au déploiement des musiques actuelles en programmant des concerts, en accompagnant les groupes de l'agglomération grenobloise, en proposant des formations, de l'information, en travaillant en collaboration avec les réseaux culturels et musicaux existants.</p> <p>Le Ciel est doté de studios/résidences et d'une salle de concert (173 places assises).</p> <p><strong>Accès</strong> <br>Le Ciel est situé à l’angle des rues Condillac et Général Marchand <br>Tram A, arrêt Maison du Tourisme ou Verdun Préfecture <br>Tram B, arrêt Maison du Tourisme </p> <p><strong>Billetterie</strong> <br>Acheter vos billets en ligne exclusivement sur www.digitick.com <br>Tarif réduit : 9 euros (demandeurs d’emploi, étudiants, -18 ans)<br>Plein tarif : 12 euros <br>Abonnement 3 concerts : 29 euros / 5 concerts : 42 euros</p>;
2120;Le Prunier Sauvage;63 Rue Albert Reynier;lepruniersauvage.com/;Sports et Loisirs;Equipements socioculturels;4108;04 76 49 20 56;infos@culturact.com;;<p><strong>Le Prunier Sauvage, anciennement \Espace Culturel Bachelard\; est un lieu de vie artistique et culturelle original et chaleureux où sont présentés des spectacles vivants, des films, et où sont organisés ateliers et stages.</strong> <br><br>Des studios de répétitions sont également installés dans les locaux. Retrouvez la programmation du Prunier Sauvage sur <a id=\6448\ href=\#\ title=\Le Prunier sauvage\ ancre=\\ typelien=\LienExterne\ libelle_ancre=\\>http://lepruniersauvage.com/</a></p>
2023;Diderot Bureau 1;22 Rue Diderot;;Institutions et Services Publics;Bureaux de vote;4352;;;8h - 20h;;
253;Ecole maternelle Diderot;22 Rue Diderot;;Education;Ecoles maternelles;4352;04 76 96 18 32;;;;
815;Centre Départemental de Santé;23 Avenue Albert 1er de Belgique;;Santé;Centres de santé;4336;04 76 87 62 40;;;;
483;EAJE Elisée Chatin;29 Rue Le Brix;;Petite Enfance;Espaces Petite Enfance municipaux;6058;04 76 87 49 75;eaje.eliseechatin@ccas-grenoble.fr;De 7h à 19h du lundi au vendredi pour l'accueil régulier. De 8h30 à 12h et de 14h00 à 17h15 pour l'accueil occasionnel. Possibilité de journées continues.;<p>Accueil régulier à temps plein et temps partiel et accueil occasionnel. Capacité d'accueil : 40 enfants.</p>;
213;Ecole élémentaire Cornélie Gémond;3 Rue Abbé de La Salle;;Education;Ecoles élémentaires;5556;;;;;
2029;Jardin de Ville Bureau 1 à 2;12 Rue Montorge;;Institutions et Services Publics;Bureaux de vote;8218;;;8h - 20h;;
