codgeo,libgeo,dclt,l_dclt,nbflux_c16_actocc15p
"38001",Les Abrets en Dauphiné,"01032",Béligneux,"4.9829751313"
"38001",Les Abrets en Dauphiné,"01034",Belley,"4.9829751313"
"38001",Les Abrets en Dauphiné,"01138",Culoz,"4.9829751313"
"38001",Les Abrets en Dauphiné,"01390",Saint-Vulbas,"4.9829751313"
"38001",Les Abrets en Dauphiné,"05136",Saint-Crépin,"4.9829751313"
"38001",Les Abrets en Dauphiné,"07191",Rochemaure,"4.9829751313"
"38001",Les Abrets en Dauphiné,"26010",Anneyron,"4.9829751313"
"38001",Les Abrets en Dauphiné,"26198",Montélimar,"4.9829751313"
"38001",Les Abrets en Dauphiné,"26362",Valence,"4.9829751313"
"38001",Les Abrets en Dauphiné,"37261",Tours,"4.9829751313"
"38001",Les Abrets en Dauphiné,"38001",Les Abrets en Dauphiné,"767.37817023"
"38001",Les Abrets en Dauphiné,"38012",Aoste,"54.812726445"
"38001",Les Abrets en Dauphiné,"38013",Apprieu,"9.9659502627"
"38001",Les Abrets en Dauphiné,"38022",Les Avenières Veyrins-Thuellin,"84.710577233"
"38001",Les Abrets en Dauphiné,"38029",La Bâtie-Montgascon,"9.9659502627"
"38001",Les Abrets en Dauphiné,"38053",Bourgoin-Jallieu,"74.74462697"
"38001",Les Abrets en Dauphiné,"38080",Charancieu,"84.710577233"
"38001",Les Abrets en Dauphiné,"38082",Charavines,"24.914875657"
"38001",Les Abrets en Dauphiné,"38104",Chimilin,"54.812726445"
"38001",Les Abrets en Dauphiné,"38105",Chirens,"9.9659502627"
"38001",Les Abrets en Dauphiné,"38118",Colombe,"9.9659502627"
"38001",Les Abrets en Dauphiné,"38124",Corbelin,"24.914875657"
"38001",Les Abrets en Dauphiné,"38126",Corenc,"4.9829751313"
"38001",Les Abrets en Dauphiné,"38133",Coublevie,"4.9829751313"
"38001",Les Abrets en Dauphiné,"38139",Creys-Mépieu,"4.9829751313"
